route_id,route_short_name,route_long_name,route_type,agency_id
304,,EC 1289,2,DB
305,,EC 85,2,DB
306,,EC 286,2,DB
307,,EC 87,2,DB
308,,EC 88,2,DB
309,,EC 89,2,DB
310,,EC 80,2,DB
311,,EC 83,2,DB
312,,EC 84,2,DB
313,,EC 287,2,ÖBB
314,,EC 86,2,DB
315,,EC 289,2,ÖBB
316,,EC 82,2,DB
317,,NJ 40420,2,ÖBB
318,,NJ 40491,2,ÖBB
319,,NJ 421,2,ÖBB
320,,EC 81,2,DB
321,,EC 1288,2,DB
322,,IC 1218,2,DB
323,,ICE 1285,2,ÖBB
324,,ICE 1280,2,DB
325,,IC 1283,2,ÖBB
326,,IC 1282,2,DB
327,,ICE 1281,2,ÖBB
328,,ICE 1284,2,DB
329,,RJ 1287,2,ÖBB
330,,EC 117,2,ÖBB
331,,EC 390,2,DB
332,,RJX 265,2,ÖBB
333,,RJX 260,2,DB
334,,EC 218,2,DB
335,,RJ 111,2,ÖBB
336,,RJX 262,2,DB
337,,EC 114,2,DB
338,,EC 217,2,ÖBB
339,,EC 112,2,DB
340,,EC 113,2,ÖBB
341,,EC 216,2,DB
342,,EC 115,2,ÖBB
343,,RJX 69,2,ÖBB
344,,EC 219,2,ÖBB
345,,RJX 261,2,ÖBB
346,,RJ 110,2,DB
347,,NJ 40295,2,ÖBB
348,,NJ 295,2,ÖBB
349,,NJ 40463,2,ÖBB
350,,EN 50463,2,ÖBB
351,,EN 60463,2,ÖBB
352,,EN 463,2,MAV
353,,NJ 40236,2,ÖBB
354,,EN 462,2,ÖBB
355,,D 480,2,ÖBB
356,,EN 498,2,ÖBB
357,,IC 1296,2,DB
358,,NJ 40235,2,ÖBB
359,,NJ 294,2,ÖBB
360,,IC 1268,2,DB
361,,RJX 1162,2,DB
362,,NJ 490,2,ÖBB
363,,ICE 228,2,DB
364,,ICE 28,2,DB
365,,ICE 92,2,DB
366,,ICE 26,2,DB
367,,ICE 21,2,ÖBB
368,,ICE 90,2,DB
369,,ICE 23,2,ÖBB
370,,ICE 91,2,ÖBB
371,,ICE 20,2,DB
372,,ICE 27,2,ÖBB
373,,ICE 29,2,ÖBB
374,,ICE 229,2,ÖBB
375,,NJ 40421,2,ÖBB
376,,NJ 491,2,ÖBB
377,,ICE 1226,2,DB
378,,ICE 1023,2,ÖBB
379,,IC 2060,2,DB
380,,ICE 1704,2,DB
381,,IC 2063,2,DB
382,,IC 2361,2,DB
383,,ICE 1714,2,DB
384,,IC 2068,2,DB
385,,IC 2162,2,DB
386,,IC 1963,2,DB
387,,IC 2160,2,DB
388,,IC 2065,2,DB
389,,IC 2067,2,DB
390,,IC 2066,2,DB
391,,IC 2069,2,DB
392,,IC 2064,2,DB
393,,IC 2161,2,DB
394,,IC 2062,2,DB
395,,IC 2163,2,DB
396,,IC 2165,2,DB
397,,IC 2164,2,DB
398,,IC 2061,2,DB
399,,IC 2431,2,DB
400,,IC 2305,2,DB
401,,IC 2434,2,DB
402,,IC 2432,2,DB
403,,IC 2433,2,DB
404,,IC 2036,2,DB
405,,IC 2439,2,DB
406,,IC 2034,2,DB
407,,IC 2033,2,DB
408,,IC 2035,2,DB
409,,IC 2438,2,DB
410,,IC 2018,2,DB
411,,IC 2306,2,DB
412,,EC 194,2,SBB
413,,EC 190,2,SBB
414,,EC 197,2,DB
415,,EC 196,2,SBB
416,,EC 195,2,DB
417,,EC 197,2,ÖBB
418,,EC 191,2,ÖBB
419,,IR 2266,2,SBB
420,,IC 2082,2,DB
421,,RE 2083,2,DB
422,,IC 1269,2,DB
423,,EC 391,2,DB
424,,RE 1919,2,DB
425,,IC 1918,2,DB
426,,ICE 1294,2,DB
427,,ICE 1222,2,DB
428,,ICE 1297,2,ÖBB
429,,IC 2425,2,DB
430,,ICE 1711,2,DB
431,,ICE 1710,2,DB
432,,IC 2421,2,DB
433,,IC 2424,2,DB
434,,IC 2429,2,DB
435,,IC 2426,2,DB
436,,IC 2322,2,DB
437,,ICE 1715,2,DB
438,,IC 2423,2,DB
439,,IC 2422,2,DB
440,,ICE 1596,2,DB
441,,IC 2188,2,DB
442,,IC 2189,2,DB
443,,ICE 1577,2,DB
444,,IC 2238,2,DB
445,,IC 2239,2,DB
446,,IC 2404,2,DB
447,,IC 2174,2,DB
448,,ICE 1745,2,DB
449,,ICE 1744,2,DB
450,,EC 178,2,DB
451,,EC 171,2,CD
452,,EC 176,2,DB
453,,EC 174,2,DB
454,,EC 379,2,CD
455,,EC 378,2,DB
456,,EC 175,2,CD
457,,EC 177,2,CD
458,,EC 170,2,DB
459,,EC 179,2,CD
460,,EC 258,2,DB
461,,EC 259,2,CD
462,,ICE 1221,2,DB
463,,IC 5722,2,DSB
464,,IC 5729,2,DSB
465,,IC 5720,2,DSB
466,,IC 5737,2,DSB
467,,IC 1183,2,DB
468,,IC 386,2,DSB
469,,IC 5736,2,DSB
470,,IC 5753,2,DSB
471,,IC 1185,2,DB
472,,IC 384,2,DSB
473,,IC 5752,2,DSB
474,,IC 5769,2,DSB
475,,IC 5760,2,DSB
476,,IC 5727,2,DSB
477,,IC 5768,2,DSB
478,,IC 5745,2,DSB
479,,IC 5744,2,DSB
480,,IC 5721,2,DSB
481,,IC 383,2,DB
482,,IC 385,2,DB
483,,IC 431,2,DSB
484,,IC 430,2,DB
485,,IC 1187,2,DB
486,,IC 382,2,DSB
487,,IC 387,2,DB
488,,IC 1131,2,DSB
489,,IC 1130,2,DB
490,,IC 2213,2,DB
491,,IC 1048,2,DB
492,,EN 499,2,ÖBB
493,,ICE 602,2,DB
494,,ICE 503,2,DB
495,,ICE 1600,2,DB
496,,ICE 505,2,DB
497,,ICE 508,2,DB
498,,ICE 507,2,DB
499,,ICE 506,2,DB
500,,ICE 509,2,DB
501,,ICE 504,2,DB
502,,ICE 1727,2,DB
503,,ICE 1601,2,DB
504,,ICE 502,2,DB
505,,ICE 603,2,DB
506,,ICE 500,2,DB
507,,ICE 1510,2,DB
508,,ICE 1700,2,DB
509,,ICE 1605,2,DB
510,,ICE 1617,2,DB
511,,ICE 1604,2,DB
512,,ICE 1501,2,DB
513,,ICE 501,2,DB
514,,ICE 804,2,DB
515,,ICE 1500,2,DB
516,,ICE 701,2,DB
517,,ICE 703,2,DB
518,,ICE 802,2,DB
519,,ICE 599,2,DB
520,,ICE 800,2,DB
521,,ICE 707,2,DB
522,,ICE 690,2,DB
523,,IC 1934,2,DB
524,,ICE 709,2,DB
525,,ICE 706,2,DB
526,,ICE 801,2,DB
527,,ICE 704,2,DB
528,,ICE 1627,2,DB
529,,ICE 702,2,DB
530,,ICE 993,2,DB
531,,ICE 1618,2,DB
532,,ICE 1701,2,DB
533,,ICE 892,2,DB
534,,ICE 1531,2,DB
535,,IC 1933,2,DB
536,,IC 1949,2,DB
537,,ICE 992,2,DB
538,,IC 1950,2,DB
539,,IC 2042,2,DB
540,,IC 2044,2,DB
541,,IC 2449,2,DB
542,,IC 2031,2,DB
543,,IC 2046,2,DB
544,,IC 2447,2,DB
545,,IC 2430,2,DB
546,,IC 2048,2,DB
547,,IC 2445,2,DB
548,,IC 2038,2,DB
549,,IC 2440,2,DB
550,,IC 2443,2,DB
551,,IC 2442,2,DB
552,,IC 2441,2,DB
553,,IC 2043,2,DB
554,,IC 2311,2,DB
555,,IC 2073,2,DB
556,,IC 2315,2,DB
557,,NJ 471,2,SBB
558,,ICE 948,2,DB
559,,ICE 949,2,DB
560,,ICE 781,2,DB
561,,IC 1941,2,DB
562,,IC 1995,2,DB
563,,ICE 1148,2,DB
564,,NJ 471,2,ÖBB
565,,IC 2217,2,DB
566,,ICE 1671,2,DB
567,,IC 2182,2,DB
568,,IC 2409,2,DB
569,,ICE 1679,2,DB
570,,IC 2587,2,DB
571,,IC 2586,2,DB
572,,IC 2216,2,DB
573,,ICE 1678,2,DB
574,,IC 2589,2,DB
575,,IC 2592,2,DB
576,,IC 2593,2,DB
577,,IC 2405,2,DB
578,,ICE 1748,2,DB
579,,IC 1909,2,DB
580,,ICE 1749,2,DB
581,,Bus62049,2,DB
582,,IC 2574,2,DB
583,,IC 2047,2,DB
584,,IC 2446,2,DB
585,,IC 2030,2,DB
586,,IC 2045,2,DB
587,,IC 2448,2,DB
588,,IC 2049,2,DB
589,,IC 2444,2,DB
590,,IC 2076,2,DB
591,,ICE 1652,2,DB
592,,ICE 1650,2,DB
593,,IC 2340,2,DB
594,,ICE 1558,2,DB
595,,IC 2015,2,DB
596,,ICE 1556,2,DB
597,,ICE 1554,2,DB
598,,ICE 1552,2,DB
599,,IC 2078,2,DB
600,,ICE 1654,2,DB
601,,IC 2072,2,DB
602,,Bus62048,2,DB
603,,Bus62574,2,DB
604,,ICE 1550,2,DB
605,,IC 2079,2,DB
606,,Bus72435,2,DB
607,,Bus62575,2,DB
608,,Bus61945,2,DB
609,,IC 2427,2,DB
610,,IC 1924,2,DB
611,,IC 1932,2,DB
612,,IC 2428,2,DB
613,,IC 2325,2,DB
614,,IC 1970,2,DB
615,,ICE 9554,2,DB
616,,ICE 9550,2,DB
617,,ICE 9558,2,DB
618,,ICE 9586,2,DB
619,,TGV 9552,2,DB
620,,ICE 593,2,DB
621,,ICE 654,2,DB
622,,IC 2070,2,DB
623,,ICE 595,2,DB
624,,ICE 944,2,DB
625,,ICE 806,2,DB
626,,ICE 642,2,DB
627,,ICE 652,2,DB
628,,ICE 1634,2,DB
629,,ICE 597,2,DB
630,,ICE 93,2,ÖBB
631,,ICE 696,2,DB
632,,ICE 640,2,DB
633,,ICE 650,2,DB
634,,ICE 1632,2,DB
635,,ICE 1050,2,DB
636,,ICE 940,2,DB
637,,ICE 1005,2,DB
638,,ICE 548,2,DB
639,,ICE 558,2,DB
640,,ICE 691,2,DB
641,,ICE 848,2,DB
642,,ICE 858,2,DB
643,,IC 2223,2,DB
644,,ICE 546,2,DB
645,,ICE 556,2,DB
646,,ICE 1538,2,DB
647,,ICE 693,2,DB
648,,ICE 846,2,DB
649,,ICE 856,2,DB
