stop_id,stop_name,stop_lat,stop_lon,stop_timezone
5501413,Vac,47.782727,19.133063,Europe/Budapest 
5501629,Hegyeshalom(Gr),47.938492,17.095451,Europe/Budapest 
5600025,Nove Zamky,47.994999,18.173959,Europe/Prague 
5600081,Kuty,48.66189,17.047691,Europe/Prague 
5600207,Bratislava hl.st.,48.158908,17.106463,Europe/Prague 
5603738,Kuty(Gr),48.711367,16.999905,Europe/Prague 
5603743,Szob(Gr),47.824896,18.84477,Europe/Prague 
5603745,Sturovo,47.800121,18.679917,Europe/Prague 
7800020,Zagreb Glavni Kolod.,45.804453,15.978478,Europe/Belgrade 
7900001,Jesenice(SL),46.43635,14.053304,Europe/Belgrade 
7900002,Lesce-Bled,46.360427,14.157632,Europe/Belgrade 
7900003,Ljubljana,46.058686,14.51294,Europe/Belgrade 
7900004,Zidani Most,46.085267,15.170708,Europe/Belgrade 
7900014,Kranj,46.23901,14.348168,Europe/Belgrade 
7900017,Dobova,45.898804,15.654552,Europe/Belgrade 
7900018,Sevnica,46.009461,15.301024,Europe/Belgrade 
7900030,Krsko,45.956227,15.493286,Europe/Belgrade 
7900042,Dobova(Gr),45.892251,15.698626,Europe/Belgrade 
7900043,Jesenice(Gr),46.481413,14.020331,Europe/Belgrade 
8000001,Aachen Hbf,50.767802,6.091495,Europe/Berlin 
8000002,Aalen,48.841009,10.09627,Europe/Berlin 
8000004,Altenbeken,51.766432,8.943323,Europe/Berlin 
8000008,Kehl(Gr),48.577742,7.799238,Europe/Berlin 
8000009,Ansbach,49.29803,10.578236,Europe/Berlin 
8000010,Aschaffenburg Hbf,49.980554,9.143692,Europe/Berlin 
8000013,Augsburg Hbf,48.365444,10.885568,Europe/Berlin 
8000014,Aulendorf,47.953055,9.64405,Europe/Berlin 
8000020,Bad Hersfeld,50.869632,9.716179,Europe/Berlin 
8000025,Bamberg,49.900757,10.899492,Europe/Berlin 
8000026,Basel Bad Bf,47.567292,7.607804,Europe/Berlin 
8000029,Bebra,50.969565,9.797783,Europe/Berlin 
8000031,Bensheim,49.68133,8.616717,Europe/Berlin 
8000036,Bielefeld Hbf,52.029258,8.532722,Europe/Berlin 
8000039,Bingen(Rhein) Hbf,49.968724,7.884258,Europe/Berlin 
8000041,Bochum Hbf,51.478606,7.223273,Europe/Berlin 
8000044,Bonn Hbf,50.732007,7.097136,Europe/Berlin 
8000045,Boppard Hbf,50.231416,7.586104,Europe/Berlin 
8000049,Braunschweig Hbf,52.252218,10.540292,Europe/Berlin 
8000050,Bremen Hbf,53.083477,8.813833,Europe/Berlin 
8000055,Bruchsal,49.124619,8.589651,Europe/Berlin 
8000057,Buchloe,48.033724,10.71622,Europe/Berlin 
8000058,Büchen,53.474976,10.623299,Europe/Berlin 
8000059,Bünde(Westf),52.202076,8.573875,Europe/Berlin 
8000064,Celle,52.621171,10.062704,Europe/Berlin 
8000067,Crailsheim,49.137869,10.064322,Europe/Berlin 
8000068,Darmstadt Hbf,49.872503,8.629635,Europe/Berlin 
8000070,Delmenhorst,53.052788,8.629761,Europe/Berlin 
8000073,Singen(Hohentwiel),47.758438,8.840378,Europe/Berlin 
8000076,Soest,51.578422,8.104593,Europe/Berlin 
8000077,Donaueschingen,47.947787,8.498923,Europe/Berlin 
8000078,Donauwörth,48.714028,10.771441,Europe/Berlin 
8000079,Puttgarden(MS),54.502047,11.227904,Europe/Berlin 
8000080,Dortmund Hbf,51.517898,7.459293,Europe/Berlin 
8000082,Düsseldorf Flughafen,51.292008,6.786837,Europe/Berlin 
8000084,Düren,50.809512,6.482454,Europe/Berlin 
8000085,Düsseldorf Hbf,51.21996,6.794316,Europe/Berlin 
8000086,Duisburg Hbf,51.429786,6.775906,Europe/Berlin 
8000087,Solingen Hbf,51.160766,7.004187,Europe/Berlin 
8000091,Steinach(b Rothenburg ob der Tauber),49.45322,10.273537,Europe/Berlin 
8000093,Elze(Han),52.120148,9.746895,Europe/Berlin 
8000095,Straubing,48.876975,12.574093,Europe/Berlin 
8000096,Stuttgart Hbf,48.784081,9.181636,Europe/Berlin 
8000098,Essen Hbf,51.451351,7.014795,Europe/Berlin 
8000101,Eutingen im Gäu,48.479949,8.782236,Europe/Berlin 
8000103,Flensburg,54.774043,9.436525,Europe/Berlin 
8000105,Frankfurt(Main)Hbf,50.107149,8.663785,Europe/Berlin 
8000107,Freiburg(Breisgau) Hbf,47.997695,7.841173,Europe/Berlin 
8000108,Freilassing,47.836914,12.977196,Europe/Berlin 
8000111,Friedberg(Hess),50.332607,8.762055,Europe/Berlin 
8000112,Friedrichshafen Stadt,47.65322,9.473902,Europe/Berlin 
8000114,Fürth(Bay)Hbf,49.469706,10.989987,Europe/Berlin 
8000115,Fulda,50.554722,9.68398,Europe/Berlin 
8000116,Traunstein,47.869725,12.638797,Europe/Berlin 
8000118,Gelsenkirchen Hbf,51.5049,7.102458,Europe/Berlin 
8000122,Treuchtlingen,48.961267,10.908158,Europe/Berlin 
8000124,Gießen,50.579056,8.661466,Europe/Berlin 
8000127,Göppingen,48.700022,9.651969,Europe/Berlin 
8000128,Göttingen,51.536811,9.926068,Europe/Berlin 
8000129,Treysa,50.910659,9.185672,Europe/Berlin 
8000139,Günzburg,48.460334,10.278652,Europe/Berlin 
8000141,Tübingen Hbf,48.515807,9.055409,Europe/Berlin 
8000142,Hagen Hbf,51.362744,7.460246,Europe/Berlin 
8000147,Hamburg-Harburg,53.455909,9.991698,Europe/Berlin 
8000149,Hamm(Westf),51.678077,7.807823,Europe/Berlin 
8000150,Hanau Hbf,50.120956,8.929003,Europe/Berlin 
8000151,Bad Bentheim(Gr),52.309111,7.039758,Europe/Berlin 
8000152,Hannover Hbf,52.376763,9.741016,Europe/Berlin 
8000155,Heide(Holst),54.193564,9.101029,Europe/Berlin 
8000156,Heidelberg Hbf,49.403563,8.675444,Europe/Berlin 
8000159,Helmstedt,52.222086,11.010554,Europe/Berlin 
8000162,Herford,52.119609,8.663641,Europe/Berlin 
8000163,Tuttlingen,47.98058,8.798542,Europe/Berlin 
8000168,Uelzen,52.969782,10.553057,Europe/Berlin 
