route_id,service_id,trip_id,trip_headsign
1100,2134,4485,Wiesbaden Hbf
694,2135,4486,Berlin Ostbahnhof
692,1730,4487,Berlin Ostbahnhof
981,26,4488,Hamburg-Harburg
1081,26,4489,Hamburg Hbf
1100,26,4490,Wiesbaden Hbf
1037,2069,4491,Amersfoort
1081,2136,4492,Hamburg-Altona
1099,2137,4493,Berlin Hbf (tief)
1037,28,4494,Amsterdam Centraal
692,1740,4495,Berlin Hbf (tief)
1037,1663,4496,Utrecht Centraal
970,578,4497,Hannover Hbf
1100,578,4498,Wiesbaden Hbf
1097,31,4499,Wiesbaden Hbf
1081,2138,4500,Hamburg-Altona
1097,1743,4501,Wiesbaden Hbf
694,2139,4502,Berlin Hbf (tief)
1081,137,4503,Hamburg-Altona
1037,2140,4504,Utrecht Centraal
1037,415,4505,Amsterdam Centraal
694,38,4506,Berlin Ostbahnhof
692,1751,4507,Berlin Hbf (tief)
1097,2141,4508,Wiesbaden Hbf
1099,2142,4509,Berlin Hbf (tief)
694,1947,4510,Berlin Hbf (tief)
1037,164,4511,Utrecht Centraal
694,49,4512,Berlin Hbf (tief)
1097,2143,4513,Wiesbaden Hbf
796,2144,4514,München Hbf
1101,2145,4515,Utrecht Centraal
694,52,4516,Berlin Ostbahnhof
692,988,4517,Berlin Ostbahnhof
1081,593,4518,Hamburg-Altona
1097,2003,4519,Wiesbaden Hbf
1099,1337,4520,Berlin Ostbahnhof
970,1397,4521,Kassel-Wilhelmshöhe
1100,870,4522,Wiesbaden Hbf
694,2146,4523,Berlin Ostbahnhof
1081,595,4524,Hamburg-Altona
33,2147,4525,Basel Bad Bf
581,2148,4526,Salzburg Hbf
581,2149,4527,Salzburg Hbf
1102,2150,4528,Kassel-Wilhelmshöhe
1102,1234,4529,Kassel-Wilhelmshöhe
1103,467,4530,Frankfurt(Main)Hbf
1104,31,4531,Frankfurt(Main)Hbf
853,490,4532,Kassel-Wilhelmshöhe
1102,1006,4533,Kassel-Wilhelmshöhe
853,2,4534,Kassel-Wilhelmshöhe
852,1475,4535,Hannover Hbf
707,2058,4536,Frankfurt(Main)Hbf
335,2058,4537,Kassel-Wilhelmshöhe
1103,1807,4538,Frankfurt(Main)Hbf
1103,816,4539,Karlsruhe Hbf
1104,816,4540,Frankfurt(Main)Hbf
239,159,4541,Wien Hbf (Autoreisezuganlage)
982,2151,4542,Lübeck Hbf
984,2152,4543,Hamburg-Altona
357,2153,4544,München Hbf
986,2154,4545,Hamburg-Altona
1105,2155,4546,Hannover Hbf
1010,2156,4547,München Hbf
1106,1987,4548,München Hbf
985,2157,4549,München Hbf
988,2158,4550,Hamburg-Altona
356,2159,4551,Bremen Hbf
1107,2160,4552,Hamburg-Altona
987,2161,4553,München Hbf
994,2162,4554,Hamburg-Altona
1108,2163,4555,München Hbf
1109,616,4556,München Hbf
1110,2164,4557,Bremen Hbf
1111,2164,4558,Hamburg-Altona
1112,1138,4559,München Hbf
1113,1138,4560,München Hbf
1114,2165,4561,Lübeck Hbf
1115,1827,4562,Oldenburg(Oldb)
995,2166,4563,München Hbf
1116,2089,4564,Hamburg-Altona
1117,1138,4565,München Hbf
979,2167,4566,Hamburg-Altona
1118,1141,4567,Nürnberg Hbf
1119,1141,4568,Nürnberg Hbf
1097,1709,4569,Wiesbaden Hbf
798,2168,4570,München Hbf
425,2169,4571,München Hbf
1120,2170,4572,Bremen Hbf
980,2171,4573,München Hbf
999,2172,4574,Hamburg-Altona
1120,2173,4575,Bremen Hbf
1000,2174,4576,Hamburg-Altona
1121,2175,4577,Lübeck Hbf
1121,118,4578,Lübeck Hbf
1120,118,4579,Bremen Hbf
980,26,4580,München Hbf
984,26,4581,Hamburg-Harburg
982,2176,4582,Lübeck Hbf
359,2000,4583,München Hbf
1000,1968,4584,Hamburg-Altona
694,27,4585,Berlin Ostbahnhof
359,2177,4586,München Hbf
798,1231,4587,München Hbf
694,123,4588,Berlin Ostbahnhof
1122,123,4589,München Hbf
984,124,4590,Hamburg-Altona
999,2178,4591,Hamburg-Altona
425,2179,4592,München Hbf
1120,2178,4593,Bremen Hbf
1000,959,4594,Hamburg-Altona
1121,2180,4595,Lübeck Hbf
425,2181,4596,München Hbf
980,2182,4597,München Hbf
984,132,4598,Hamburg-Altona
984,133,4599,Hamburg-Altona
999,324,4600,Hamburg-Altona
1123,1611,4601,München Hbf
1124,2183,4602,Zürich HB
1125,2183,4603,Zürich HB
999,1990,4604,Hamburg-Altona
1124,2184,4605,Zürich HB
1125,2184,4606,Zürich HB
1123,134,4607,München Hbf
1124,134,4608,Zürich HB
1125,134,4609,Zürich HB
1123,1613,4610,Innsbruck Hbf
984,2185,4611,Hamburg-Altona
980,2186,4612,München Hbf
1123,1617,4613,München Hbf
1123,1618,4614,München Hbf
425,47,4615,München Hbf
1123,48,4616,München Hbf
1124,48,4617,Zürich HB
1125,48,4618,Zürich HB
798,419,4619,München Hbf
999,2187,4620,Hamburg-Altona
1121,2187,4621,Lübeck Hbf
1120,2187,4622,Bremen Hbf
798,2188,4623,München Hbf
798,1334,4624,München Hbf
798,1951,4625,München Hbf
359,1018,4626,München Hbf
694,2110,4627,Berlin Ostbahnhof
798,185,4628,München Hbf
980,2004,4629,München Hbf
1126,2189,4630,Köln Hbf
1127,2190,4631,Berlin Ostbahnhof
1128,994,4632,Hamburg-Altona
1129,1340,4633,Köln Hbf
1130,312,4634,Flensburg
1127,1935,4635,Berlin Hbf (tief)
84,118,4636,Dortmund Hbf
79,2191,4637,Münster(Westf)Hbf
1127,28,4638,Berlin Ostbahnhof
1127,1160,4639,Berlin Ostbahnhof
1129,2113,4640,Köln Hbf
1130,2113,4641,Flensburg
1036,2113,4642,Köln Hbf
1128,2024,4643,Hamburg-Altona
1131,2192,4644,Hamburg-Altona
1132,2193,4645,Hamburg-Altona
1131,49,4646,Hamburg Hbf
1132,168,4647,Hamburg-Altona
246,390,4648,Berlin Hbf (tief)
1133,2194,4649,Rostock Hbf
1133,2195,4650,Rostock Hbf
690,40,4651,Leipzig Hbf
688,40,4652,Rostock Hbf
690,694,4653,Leipzig Hbf
688,694,4654,Rostock Hbf
1133,168,4655,Rostock Hbf
690,1433,4656,Leipzig Hbf
254,430,4657,Rostock Hbf
808,116,4658,Stuttgart Hbf
808,35,4659,Stuttgart Hbf
808,2196,4660,Stuttgart Hbf
